"Tarih","Saat","Pozitif Dengesizlik Miktarý (MWh)","Negatif Dengesizlik Miktarý (MWh)"
"01/01/2018","00:00","2.091,35","-785,13"
"01/01/2018","01:00","1.335,26","-864,52"
"01/01/2018","02:00","1.236,80","-786,01"
"01/01/2018","03:00","1.332,62","-731,18"
"01/01/2018","04:00","1.121,70","-628,83"
"01/01/2018","05:00","1.234,81","-487,91"
"01/01/2018","06:00","1.105,47","-766,70"
"01/01/2018","07:00","1.640,37","-779,67"
"01/01/2018","08:00","2.688,04","-1.982,60"
"01/01/2018","09:00","1.927,55","-2.800,14"
"01/01/2018","10:00","1.670,90","-2.612,20"
"01/01/2018","11:00","1.779,93","-2.108,28"
"01/01/2018","12:00","1.893,93","-2.539,27"
"01/01/2018","13:00","2.055,45","-2.443,84"
"01/01/2018","14:00","1.920,93","-2.479,31"
"01/01/2018","15:00","1.758,91","-2.473,16"
"01/01/2018","16:00","1.763,81","-2.444,40"
"01/01/2018","17:00","1.830,90","-2.143,04"
"01/01/2018","18:00","1.658,90","-2.671,77"
"01/01/2018","19:00","1.227,15","-2.889,71"
"01/01/2018","20:00","979,65","-2.804,45"
"01/01/2018","21:00","1.203,06","-2.206,48"
"01/01/2018","22:00","1.253,67","-1.879,71"
"01/01/2018","23:00","1.296,59","-1.491,95"
"02/01/2018","00:00","1.851,05","-882,86"
"02/01/2018","01:00","2.187,22","-595,48"
"02/01/2018","02:00","1.649,17","-617,69"
"02/01/2018","03:00","2.045,56","-667,61"
"02/01/2018","04:00","1.884,69","-704,88"
"02/01/2018","05:00","2.099,42","-655,03"
"02/01/2018","06:00","1.803,18","-630,48"
"02/01/2018","07:00","1.469,08","-1.551,55"
"02/01/2018","08:00","1.425,99","-1.971,44"
"02/01/2018","09:00","1.405,05","-2.336,44"
"02/01/2018","10:00","1.219,59","-1.953,95"
"02/01/2018","11:00","1.173,23","-1.673,03"
"02/01/2018","12:00","1.981,88","-1.315,21"
"02/01/2018","13:00","1.669,57","-1.230,79"
"02/01/2018","14:00","1.615,47","-1.173,16"
"02/01/2018","15:00","1.960,33","-1.135,60"
"02/01/2018","16:00","1.364,01","-1.338,94"
"02/01/2018","17:00","1.250,35","-1.665,23"
"02/01/2018","18:00","1.573,26","-1.425,88"
"02/01/2018","19:00","1.268,14","-1.667,41"
"02/01/2018","20:00","1.284,31","-1.482,86"
"02/01/2018","21:00","906,07","-1.516,18"
"02/01/2018","22:00","1.017,22","-1.602,41"
"02/01/2018","23:00","1.256,14","-1.231,64"
"03/01/2018","00:00","1.571,44","-610,70"
"03/01/2018","01:00","1.226,82","-593,29"
"03/01/2018","02:00","1.244,80","-556,98"
"03/01/2018","03:00","1.409,51","-609,43"
"03/01/2018","04:00","1.296,77","-406,99"
"03/01/2018","05:00","1.333,36","-849,34"
"03/01/2018","06:00","1.424,36","-564,92"
"03/01/2018","07:00","1.361,45","-1.063,56"
"03/01/2018","08:00","799,28","-1.093,28"
"03/01/2018","09:00","813,51","-1.789,17"
"03/01/2018","10:00","771,35","-1.865,02"
"03/01/2018","11:00","922,05","-1.977,06"
"03/01/2018","12:00","1.368,57","-1.755,73"
"03/01/2018","13:00","1.143,59","-2.282,78"
"03/01/2018","14:00","1.023,60","-2.281,71"
"03/01/2018","15:00","1.095,74","-2.150,75"
"03/01/2018","16:00","755,67","-2.193,70"
"03/01/2018","17:00","687,91","-2.051,35"
"03/01/2018","18:00","629,45","-2.301,11"
"03/01/2018","19:00","541,34","-2.102,06"
"03/01/2018","20:00","542,24","-1.780,48"
"03/01/2018","21:00","860,32","-1.460,03"
"03/01/2018","22:00","1.033,23","-980,50"
"03/01/2018","23:00","588,98","-883,53"
"04/01/2018","00:00","792,69","-968,98"
"04/01/2018","01:00","504,14","-1.022,07"
"04/01/2018","02:00","1.392,88","-923,72"
"04/01/2018","03:00","588,61","-808,16"
"04/01/2018","04:00","880,53","-843,50"
"04/01/2018","05:00","716,36","-781,47"
"04/01/2018","06:00","492,21","-1.388,06"
"04/01/2018","07:00","626,30","-1.706,18"
"04/01/2018","08:00","741,91","-1.415,30"
"04/01/2018","09:00","608,48","-1.642,65"
"04/01/2018","10:00","411,68","-1.887,18"
"04/01/2018","11:00","546,19","-2.101,38"
"04/01/2018","12:00","567,05","-2.290,86"
"04/01/2018","13:00","522,89","-2.244,44"
"04/01/2018","14:00","352,88","-2.562,48"
"04/01/2018","15:00","654,98","-2.050,85"
"04/01/2018","16:00","444,50","-1.886,76"
"04/01/2018","17:00","620,68","-1.758,56"
"04/01/2018","18:00","891,86","-1.526,95"
"04/01/2018","19:00","1.198,78","-1.411,74"
"04/01/2018","20:00","1.588,79","-1.012,12"
"04/01/2018","21:00","899,84","-1.311,73"
"04/01/2018","22:00","1.030,67","-1.333,22"
"04/01/2018","23:00","941,29","-1.280,14"
