"Tarih","Saat","UEÇM (MWh)"
"01/01/2018","00:00","25.338,54"
"01/01/2018","01:00","24.155,98"
"01/01/2018","02:00","22.792,28"
"01/01/2018","03:00","21.827,49"
"01/01/2018","04:00","21.414,58"
"01/01/2018","05:00","21.281,75"
"01/01/2018","06:00","22.876,50"
"01/01/2018","07:00","23.111,32"
"01/01/2018","08:00","23.369,34"
"01/01/2018","09:00","25.088,53"
"01/01/2018","10:00","26.680,08"
"01/01/2018","11:00","27.843,86"
"01/01/2018","12:00","28.195,64"
"01/01/2018","13:00","28.433,04"
"01/01/2018","14:00","28.278,28"
"01/01/2018","15:00","27.997,63"
"01/01/2018","16:00","28.338,36"
"01/01/2018","17:00","29.492,04"
"01/01/2018","18:00","30.939,82"
"01/01/2018","19:00","30.804,13"
"01/01/2018","20:00","30.173,47"
"01/01/2018","21:00","29.556,57"
"01/01/2018","22:00","29.375,68"
"01/01/2018","23:00","28.155,91"
"02/01/2018","00:00","26.478,56"
"02/01/2018","01:00","25.104,53"
"02/01/2018","02:00","24.283,60"
"02/01/2018","03:00","23.833,28"
"02/01/2018","04:00","23.800,00"
"02/01/2018","05:00","24.202,25"
"02/01/2018","06:00","27.518,78"
"02/01/2018","07:00","30.246,28"
"02/01/2018","08:00","33.587,87"
"02/01/2018","09:00","36.278,43"
"02/01/2018","10:00","37.372,57"
"02/01/2018","11:00","37.795,58"
"02/01/2018","12:00","36.239,28"
"02/01/2018","13:00","36.153,11"
"02/01/2018","14:00","36.305,71"
"02/01/2018","15:00","35.777,36"
"02/01/2018","16:00","35.830,17"
"02/01/2018","17:00","36.636,42"
"02/01/2018","18:00","36.500,66"
"02/01/2018","19:00","35.371,80"
"02/01/2018","20:00","34.247,65"
"02/01/2018","21:00","33.454,51"
"02/01/2018","22:00","33.100,52"
"02/01/2018","23:00","31.767,97"
"03/01/2018","00:00","29.392,47"
"03/01/2018","01:00","27.787,31"
"03/01/2018","02:00","26.635,10"
"03/01/2018","03:00","26.241,28"
"03/01/2018","04:00","26.080,48"
"03/01/2018","05:00","26.312,70"
"03/01/2018","06:00","29.355,68"
"03/01/2018","07:00","31.587,85"
"03/01/2018","08:00","34.633,33"
"03/01/2018","09:00","36.927,70"
"03/01/2018","10:00","37.957,39"
"03/01/2018","11:00","38.199,87"
"03/01/2018","12:00","36.610,71"
"03/01/2018","13:00","37.378,21"
"03/01/2018","14:00","37.531,08"
"03/01/2018","15:00","37.175,29"
"03/01/2018","16:00","37.176,41"
"03/01/2018","17:00","37.651,71"
"03/01/2018","18:00","37.116,04"
"03/01/2018","19:00","35.935,33"
"03/01/2018","20:00","34.862,74"
"03/01/2018","21:00","33.951,43"
"03/01/2018","22:00","33.666,52"
"03/01/2018","23:00","32.306,53"
"04/01/2018","00:00","29.984,64"
"04/01/2018","01:00","28.208,81"
"04/01/2018","02:00","27.042,46"
"04/01/2018","03:00","26.577,59"
"04/01/2018","04:00","26.403,18"
"04/01/2018","05:00","26.675,07"
"04/01/2018","06:00","29.820,31"
"04/01/2018","07:00","32.217,62"
"04/01/2018","08:00","35.036,27"
"04/01/2018","09:00","37.243,49"
"04/01/2018","10:00","38.315,05"
"04/01/2018","11:00","38.858,79"
"04/01/2018","12:00","37.523,02"
"04/01/2018","13:00","37.633,40"
"04/01/2018","14:00","37.833,41"
"04/01/2018","15:00","37.452,80"
"04/01/2018","16:00","37.555,64"
"04/01/2018","17:00","37.806,53"
"04/01/2018","18:00","37.227,49"
"04/01/2018","19:00","36.177,68"
"04/01/2018","20:00","35.252,71"
"04/01/2018","21:00","34.348,50"
"04/01/2018","22:00","34.082,71"
"04/01/2018","23:00","32.747,27"
"05/01/2018","00:00","30.165,15"
"05/01/2018","01:00","28.417,94"
"05/01/2018","02:00","27.402,95"
"05/01/2018","03:00","26.769,30"
"05/01/2018","04:00","26.687,41"
"05/01/2018","05:00","26.925,92"
"05/01/2018","06:00","29.969,41"
"05/01/2018","07:00","31.888,91"
"05/01/2018","08:00","34.856,65"
"05/01/2018","09:00","37.092,66"
"05/01/2018","10:00","38.114,62"
"05/01/2018","11:00","38.876,87"
"05/01/2018","12:00","37.233,33"
"05/01/2018","13:00","36.028,81"
"05/01/2018","14:00","37.118,29"
"05/01/2018","15:00","36.835,20"
"05/01/2018","16:00","36.579,18"
"05/01/2018","17:00","36.931,44"
"05/01/2018","18:00","36.643,93"
"05/01/2018","19:00","35.599,47"
"05/01/2018","20:00","34.568,45"
"05/01/2018","21:00","33.687,92"
"05/01/2018","22:00","33.617,54"
"05/01/2018","23:00","32.553,56"
"06/01/2018","00:00","30.424,59"
"06/01/2018","01:00","28.663,45"
"06/01/2018","02:00","27.322,48"
"06/01/2018","03:00","26.595,99"
"06/01/2018","04:00","26.219,47"
"06/01/2018","05:00","26.554,76"
"06/01/2018","06:00","28.719,75"
"06/01/2018","07:00","29.950,06"
"06/01/2018","08:00","32.183,82"
"06/01/2018","09:00","34.665,24"
"06/01/2018","10:00","35.867,99"
"06/01/2018","11:00","36.334,61"
"06/01/2018","12:00","34.964,26"
"06/01/2018","13:00","34.601,07"
"06/01/2018","14:00","34.029,43"
"06/01/2018","15:00","33.117,50"
"06/01/2018","16:00","32.844,43"
"06/01/2018","17:00","33.499,62"
"06/01/2018","18:00","34.766,72"
"06/01/2018","19:00","34.191,79"
"06/01/2018","20:00","33.343,64"
"06/01/2018","21:00","32.645,24"
"06/01/2018","22:00","32.548,34"
"06/01/2018","23:00","31.565,56"
"07/01/2018","00:00","29.403,75"
"07/01/2018","01:00","27.548,08"
"07/01/2018","02:00","26.107,99"
"07/01/2018","03:00","25.348,82"
"07/01/2018","04:00","24.993,27"
"07/01/2018","05:00","24.953,54"
"07/01/2018","06:00","26.783,67"
"07/01/2018","07:00","26.829,23"
"07/01/2018","08:00","26.849,30"
"07/01/2018","09:00","27.998,89"
"07/01/2018","10:00","29.474,24"
"07/01/2018","11:00","29.971,56"
"07/01/2018","12:00","29.721,55"
"07/01/2018","13:00","29.600,75"
"07/01/2018","14:00","29.079,97"
"07/01/2018","15:00","28.789,45"
"07/01/2018","16:00","28.962,15"
"07/01/2018","17:00","30.057,19"
"07/01/2018","18:00","32.060,18"
"07/01/2018","19:00","32.154,49"
"07/01/2018","20:00","31.755,36"
"07/01/2018","21:00","31.228,00"
"07/01/2018","22:00","31.010,84"
"07/01/2018","23:00","29.911,78"
"08/01/2018","00:00","27.872,07"
"08/01/2018","01:00","26.266,38"
"08/01/2018","02:00","25.274,44"
"08/01/2018","03:00","24.811,28"
"08/01/2018","04:00","24.789,08"
"08/01/2018","05:00","25.218,54"
"08/01/2018","06:00","28.493,89"
"08/01/2018","07:00","31.253,36"
"08/01/2018","08:00","34.811,50"
"08/01/2018","09:00","37.329,66"
"08/01/2018","10:00","38.172,24"
"08/01/2018","11:00","38.408,58"
"08/01/2018","12:00","36.691,94"
"08/01/2018","13:00","36.743,41"
"08/01/2018","14:00","36.611,48"
"08/01/2018","15:00","36.122,25"
"08/01/2018","16:00","36.058,19"
"08/01/2018","17:00","36.675,53"
"08/01/2018","18:00","36.765,94"
"08/01/2018","19:00","35.840,81"
"08/01/2018","20:00","35.005,99"
"08/01/2018","21:00","34.095,74"
"08/01/2018","22:00","33.626,26"
"08/01/2018","23:00","32.633,86"
"09/01/2018","00:00","30.316,20"
"09/01/2018","01:00","28.516,92"
"09/01/2018","02:00","27.509,32"
"09/01/2018","03:00","26.927,68"
"09/01/2018","04:00","26.816,02"
"09/01/2018","05:00","27.120,66"
"09/01/2018","06:00","30.154,01"
"09/01/2018","07:00","32.465,33"
"09/01/2018","08:00","35.546,88"
"09/01/2018","09:00","37.854,21"
"09/01/2018","10:00","38.596,40"
"09/01/2018","11:00","38.993,44"
"09/01/2018","12:00","37.170,59"
"09/01/2018","13:00","37.101,80"
"09/01/2018","14:00","37.328,50"
"09/01/2018","15:00","36.931,83"
"09/01/2018","16:00","36.980,21"
"09/01/2018","17:00","37.664,56"
"09/01/2018","18:00","37.446,67"
"09/01/2018","19:00","36.365,99"
"09/01/2018","20:00","35.397,56"
"09/01/2018","21:00","34.383,16"
"09/01/2018","22:00","34.016,54"
"09/01/2018","23:00","32.795,26"
"10/01/2018","00:00","30.524,52"
"10/01/2018","01:00","28.755,89"
"10/01/2018","02:00","27.565,64"
"10/01/2018","03:00","26.898,66"
"10/01/2018","04:00","26.827,45"
"10/01/2018","05:00","27.016,77"
"10/01/2018","06:00","30.026,89"
"10/01/2018","07:00","32.382,88"
"10/01/2018","08:00","35.494,45"
"10/01/2018","09:00","37.775,32"
"10/01/2018","10:00","38.521,31"
"10/01/2018","11:00","38.890,63"
"10/01/2018","12:00","37.155,51"
"10/01/2018","13:00","37.278,70"
"10/01/2018","14:00","37.525,48"
"10/01/2018","15:00","37.092,53"
"10/01/2018","16:00","37.166,36"
"10/01/2018","17:00","37.751,78"
"10/01/2018","18:00","37.537,82"
"10/01/2018","19:00","36.446,09"
"10/01/2018","20:00","35.448,13"
"10/01/2018","21:00","34.545,44"
"10/01/2018","22:00","34.266,80"
"10/01/2018","23:00","32.909,37"
"11/01/2018","00:00","30.533,98"
"11/01/2018","01:00","28.903,59"
"11/01/2018","02:00","27.719,12"
"11/01/2018","03:00","27.084,08"
"11/01/2018","04:00","26.881,15"
"11/01/2018","05:00","27.272,73"
"11/01/2018","06:00","30.247,89"
"11/01/2018","07:00","32.509,59"
"11/01/2018","08:00","35.438,89"
"11/01/2018","09:00","37.961,23"
"11/01/2018","10:00","38.850,23"
"11/01/2018","11:00","39.349,53"
"11/01/2018","12:00","37.665,70"
"11/01/2018","13:00","37.973,68"
"11/01/2018","14:00","38.139,39"
"11/01/2018","15:00","37.687,92"
"11/01/2018","16:00","37.695,33"
"11/01/2018","17:00","37.923,51"
"11/01/2018","18:00","37.755,37"
"11/01/2018","19:00","36.667,62"
"11/01/2018","20:00","35.666,25"
"11/01/2018","21:00","34.757,15"
"11/01/2018","22:00","34.580,48"
"11/01/2018","23:00","33.306,88"
"12/01/2018","00:00","30.899,97"
"12/01/2018","01:00","29.070,95"
"12/01/2018","02:00","27.754,21"
"12/01/2018","03:00","27.171,30"
"12/01/2018","04:00","27.015,63"
"12/01/2018","05:00","27.318,31"
"12/01/2018","06:00","30.390,59"
"12/01/2018","07:00","32.592,29"
"12/01/2018","08:00","35.662,11"
"12/01/2018","09:00","37.915,34"
"12/01/2018","10:00","38.967,13"
"12/01/2018","11:00","39.564,42"
"12/01/2018","12:00","37.758,10"
"12/01/2018","13:00","36.705,59"
"12/01/2018","14:00","37.789,23"
"12/01/2018","15:00","37.628,09"
"12/01/2018","16:00","37.487,26"
"12/01/2018","17:00","37.732,76"
"12/01/2018","18:00","37.419,18"
"12/01/2018","19:00","36.238,58"
"12/01/2018","20:00","34.996,84"
"12/01/2018","21:00","34.210,41"
"12/01/2018","22:00","34.146,43"
"12/01/2018","23:00","33.166,12"
"13/01/2018","00:00","31.028,21"
"13/01/2018","01:00","29.127,44"
"13/01/2018","02:00","27.833,01"
"13/01/2018","03:00","26.977,71"
"13/01/2018","04:00","26.804,96"
"13/01/2018","05:00","26.949,58"
"13/01/2018","06:00","29.276,37"
"13/01/2018","07:00","30.310,02"
"13/01/2018","08:00","32.685,21"
"13/01/2018","09:00","35.120,03"
"13/01/2018","10:00","36.477,45"
"13/01/2018","11:00","37.174,17"
"13/01/2018","12:00","36.118,16"
"13/01/2018","13:00","36.297,88"
"13/01/2018","14:00","35.799,17"
"13/01/2018","15:00","35.063,25"
"13/01/2018","16:00","34.746,90"
"13/01/2018","17:00","34.984,58"
"13/01/2018","18:00","35.685,98"
"13/01/2018","19:00","35.013,22"
"13/01/2018","20:00","34.022,01"
"13/01/2018","21:00","33.131,95"
"13/01/2018","22:00","32.900,57"
"13/01/2018","23:00","32.002,48"
"14/01/2018","00:00","29.831,40"
"14/01/2018","01:00","27.946,87"
"14/01/2018","02:00","26.506,85"
"14/01/2018","03:00","25.615,59"
"14/01/2018","04:00","25.325,57"
"14/01/2018","05:00","25.224,56"
"14/01/2018","06:00","26.949,47"
"14/01/2018","07:00","27.061,00"
"14/01/2018","08:00","27.160,33"
"14/01/2018","09:00","28.572,05"
"14/01/2018","10:00","30.278,65"
"14/01/2018","11:00","31.277,51"
"14/01/2018","12:00","31.581,29"
"14/01/2018","13:00","31.904,50"
"14/01/2018","14:00","31.532,45"
"14/01/2018","15:00","31.193,51"
"14/01/2018","16:00","31.300,41"
"14/01/2018","17:00","32.048,27"
"14/01/2018","18:00","33.465,67"
"14/01/2018","19:00","33.356,24"
"14/01/2018","20:00","32.731,63"
"14/01/2018","21:00","32.113,63"
"14/01/2018","22:00","32.026,67"
"14/01/2018","23:00","30.896,12"
"15/01/2018","00:00","28.825,54"
"15/01/2018","01:00","27.207,78"
"15/01/2018","02:00","26.012,94"
"15/01/2018","03:00","25.600,01"
"15/01/2018","04:00","25.441,39"
"15/01/2018","05:00","25.806,24"
"15/01/2018","06:00","28.677,55"
"15/01/2018","07:00","31.617,58"
"15/01/2018","08:00","35.372,10"
"15/01/2018","09:00","38.538,14"
"15/01/2018","10:00","39.692,65"
"15/01/2018","11:00","40.245,92"
"15/01/2018","12:00","38.588,36"
"15/01/2018","13:00","38.673,44"
"15/01/2018","14:00","38.754,70"
"15/01/2018","15:00","38.159,87"
"15/01/2018","16:00","38.066,39"
"15/01/2018","17:00","38.436,85"
"15/01/2018","18:00","38.347,10"
"15/01/2018","19:00","37.228,71"
"15/01/2018","20:00","36.210,55"
"15/01/2018","21:00","35.216,09"
"15/01/2018","22:00","34.748,26"
"15/01/2018","23:00","33.670,06"
"16/01/2018","00:00","31.121,09"
"16/01/2018","01:00","29.306,45"
"16/01/2018","02:00","28.022,76"
"16/01/2018","03:00","27.326,32"
"16/01/2018","04:00","27.263,87"
"16/01/2018","05:00","27.518,54"
"16/01/2018","06:00","30.353,44"
"16/01/2018","07:00","32.639,47"
"16/01/2018","08:00","35.921,71"
"16/01/2018","09:00","38.880,47"
"16/01/2018","10:00","39.914,65"
"16/01/2018","11:00","40.396,73"
"16/01/2018","12:00","39.006,28"
"16/01/2018","13:00","39.285,11"
"16/01/2018","14:00","39.531,88"
"16/01/2018","15:00","39.065,13"
